pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,pl_surf_temp,score_radius,score_insolation,score_eccentricity,score_orbital_period,score_temp,score,habitability_category,pl_gravity,total_score
TOI-2285 b,TOI-2285,0,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FUKUI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022PASJ...74L...1F/abstract target=ref>Fukui et al. 2022</a>,27.26955,0.1363,1.74,0.15523267,19.5,0.06135386,Mass,0.3,1.54,284,0,<a refstr=FUKUI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022PASJ...74L...1F/abstract target=ref>Fukui et al. 2022</a>,,3491,0.464,0.454,-0.05,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h10m15.18s,332.5632644,+58d42m21.94s,58.7060934,42.409,13.403,9.034,12.4314,10/25/2021,2022-02,10/25/2021,,2.5999999999999996,4.6,0,0.7402616438356162,9.2,3.428052328767123,Category 3,,3.428052328767123
Kepler-20 f,Kepler-20,1,2,6,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,19.578328,0.1387,0.952,0.0849319,1.4,0.00440489,Mass,0.094,35.9,681,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5495,0.9164,0.929,0.07,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,12.61,10.871,12.4535,4/17/2023,2023-04,4/17/2023,,9.52,0,6.9079999999999995,0.529543233,0,3.3915086465753417,Category 3,,3.3915086465753417
Wolf 327 b,Wolf 327,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240112150M/abstract target=ref>Murgas et al. 2024</a>,0.5734745,0.01,1.24,0.11062558,2.53,0.00796027,Mass,0,233.9,996,0,<a refstr=MURGAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240112150M/abstract target=ref>Murgas et al. 2024</a>,M2.5 V,3542,0.406,0.405,-0.17,[Fe/H],4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h53m30.80s,148.3783199,+35d34m13.97s,35.570548,28.5321,13.018,8.435,11.9522,2/5/2024,2024-01,2/5/2024,,7.6,0,9.332,0.008862315,0,3.3881724630136985,Category 3,,3.3881724630136985
TRAPPIST-1 c,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,2.4218233,0.01521,1.056,0.09421001,1.38,0.00434194,Mass,0.083,2.27,341.9,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,9.44,0,7.348,0.059502008,0,3.369500401643836,Category 3,,3.369500401643836
HD 23472 f,HD 23472,1,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,12.1621839,0.0906,1.137,0.10143652,0.77,0.00242269,Mass,0.07,26.3,630,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684,0.71,0.67,-0.2,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73,7.207,9.38476,10/3/2022,2022-09,10/3/2022,,8.629999999999999,0,7.868,0.3263612027397258,0,3.3648722405479448,Category 3,,3.3648722405479448
HD 260655 b,HD 260655,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2.76953,0.02933,1.24,0.11062558,2.14,0.00673319,Mass,0.039,42.2,709,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,M0 V,3803,0.439,0.439,-0.43,[Fe/H],5.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,9.63,5.862,8.876041,6/27/2022,2022-04,6/27/2022,,7.6,0,9.108,0.069028219,0,3.3554056438356157,Category 3,,3.3554056438356157
Kepler-68 c,Kepler-68,1,2,4,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,9.605027,0.09008,0.979,0.08734068,1.3,0.00409026,Mass,0.099,204,1052,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5847,1.2564,1.057,0.11,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m07.75s,291.0323102,+49d02m24.77s,49.0402129,144.166,10.077,8.588,9.93355,4/17/2023,2023-04,4/17/2023,,9.79,0,6.707999999999999,0.25630210958904165,0,3.350860421917808,Category 3,,3.350860421917808
Kepler-849 b,Kepler-849,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,394.62508,1.137,8.08167508,0.721,298.7587026,0.94,Mass,0.078,2.86,362.7,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5950,1.822,1.259,0.145,[Fe/H],4.016,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m24.43s,290.8517961,+48d31m16.77s,48.5213243,822.134,12.878,11.527,12.8358,9/13/2024,2024-03,9/13/2024,,0,0,7.548,9.195203287671232,0,3.3486406575342462,Category 3,,3.3486406575342462
GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.1980035,0.01589,1.264,0.11276653,1.86,0.00585219,Mass,0,59.4,773,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347,0.364,0.36,0.11,[Fe/H],4.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644,13.74,8.829001,12.465,10/16/2020,2020-10,10/22/2020,,7.359999999999999,0,9.332,0.025972699,0,3.343594539726028,Category 3,,3.343594539726028
LHS 1140 b,LHS 1140,0,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,24.736959,0.0936,1.727,0.15407262,6.98,0.02196143,Mass,0.06,0.503,235,0,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,,3216,0.2139,0.179,-0.24,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,14.15,8.821,12.6706,12/3/2018,2019-01,12/6/2018,,2.7299999999999986,5.03,8.268,0.6708755890410956,0,3.3397751178082187,Category 3,,3.3397751178082187
LHS 1140 b,LHS 1140,1,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,24.73723,0.0946,1.73,0.15434053,5.6,0.01761957,Mass,0.043,0.43,226,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,M4.5 V,3096,0.2159,0.1844,-0.15,[Fe/H],5.041,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,14.15,8.821,12.6706,3/4/2024,2024-01,3/4/2024,,2.7,4.299999999999999,8.948,0.6708830136986297,0,3.3237766027397257,Category 3,,3.3237766027397257
TRAPPIST-1 b,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,1.51087081,0.01111,1.086,0.09688643,0.85,0.00267439,Mass,0.081,4.25,400.1,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,9.139999999999999,0,7.428,0.034544406,0,3.320508881150684,Category 3,,3.320508881150684
Kepler-138 b,Kepler-138,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,10.3134,0.0753,0.64,0.05709707,0.07,0.00022024,Mass,0.02,9.9,452,1,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,,3841,0.535,0.535,-0.18,[Fe/H],4.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,13.04,9.506,12.4715,1/4/2023,2022-12,1/4/2023,,6.4,0,9.868,0.2757095890410959,0,3.308741917808219,Category 3,,3.308741917808219
GJ 486 b,GJ 486,1,1,1,Radial Velocity,2021,Calar Alto Observatory,Published Confirmed,0,<a refstr=WEINER_MANSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...975L..22W/abstract target=ref>Weiner Mansfield et al. 2024</a>,1.46712127,0.01714,1.289,0.11499708,2.77,0.00871539,Mass,0.00086,39.2,696.3,0,<a refstr=WEINER_MANSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...975L..22W/abstract target=ref>Weiner Mansfield et al. 2024</a>,,3317,0.3243,0.312,-0.15,[Fe/H],4.9111,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426,11.39,6.362,10.094,4/16/2025,2024-11,4/16/2025,,7.110000000000001,0,9.3664,0.033345788,0,3.3019491576438353,Category 3,,3.3019491576438353
TOI-500 b,TOI-500,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,0.548177,0.01189,1.166,0.10402373,1.42,0.00446782,Mass,0.063,1138,1617,0,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,K6 V,4440,0.678,0.74,0.12,[Fe/H],4.618,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h06m14.18s,106.559098,-47d35m16.14s,-47.5878156,47.3924,10.54,7.715,10.1026,5/9/2022,2022-04,5/9/2022,,8.34,0,8.148,0.008169233,0,3.299233846575342,Category 3,,3.299233846575342
TOI-406 c,TOI-406,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,3.307441,0.0322,1.32,0.11776272,2.08,0.00654441,Mass,0.032,19,584,0,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,M3,3392,0.41,0.408,-0.02,[M/H],4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h17m03.03s,49.2626428,-42d14m38.94s,-42.2441492,31.0597,13.773,8.848,12.5528,12/16/2024,2024-09,12/16/2024,,6.799999999999999,0,9.388,0.083765507,0,3.2543531013698628,Category 3,,3.2543531013698628
HD 23472 e,HD 23472,1,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,7.90754,0.068,0.818,0.0729772,0.72,0.00226537,Mass,0.07,46.7,723,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684,0.71,0.67,-0.2,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73,7.207,9.38476,10/3/2022,2022-09,10/3/2022,,8.18,0,7.868,0.2097956164383561,0,3.2515591232876715,Category 3,,3.2515591232876715
K2-266 c,K2-266,1,2,4,Transit,2018,K2,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,7.814,0.0679,0.705,0.06289589,0.29013072,0.00091285,Msin(i)/sin(i),0.042,32.4,664.5,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,,4285,0.703,0.686,-0.12,[Fe/H],4.581,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,+00d56m14.20s,0.9372782,77.5586,11.625,8.897,11.3527,10/31/2022,2018-11,10/31/2022,,7.05,0,8.988,0.20723287671232882,0,3.249046575342466,Category 3,,3.249046575342466
LTT 3780 b,LTT 3780,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,0.76837931,0.01195,1.325,0.11820879,2.46,0.00774003,Mass,0,111,903,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,,3358,0.38,0.381,0.06,[Fe/H],4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,13.14,8.204001,11.8465,3/26/2024,2024-02,3/26/2024,,6.75,0,9.332,0.014202172876712993,0,3.219240434575343,Category 3,,3.219240434575343
LHS 1140 c,LHS 1140,1,1,2,Transit,2018,Multiple Observatories,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,3.77794,0.027,1.272,0.11348043,1.91,0.00600953,Mass,0.05,5.3,422,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,M4.5 V,3096,0.2159,0.1844,-0.15,[Fe/H],5.041,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,14.15,8.821,12.6706,3/4/2024,2024-01,3/4/2024,,7.279999999999999,0,8.668,0.09665589,0,3.2089311780821914,Category 3,,3.2089311780821914
LTT 3780 b,LTT 3780,0,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,0.768448,0.01211,1.332,0.11883308,2.62,0.0082434,Mass,0,106,892,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,M4 V,3331,0.374,0.401,0.28,[Fe/H],4.896,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,13.14,8.204001,11.8465,5/28/2020,2020-07,6/4/2020,,6.68,0,9.332,0.014204055,0,3.205240810958904,Category 3,,3.205240810958904
Kepler-102 f,Kepler-102,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,27.453592,0.1656,0.861,0.07681341,4.3,0.01352931,Mass,0.1,10,495,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,4909,0.724,0.803,0.11,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,12.072,9.351,11.4784,4/17/2023,2023-04,4/17/2023,,8.61,0,6.667999999999999,0.74530389,0,3.2046607780821916,Category 3,,3.2046607780821916
GJ 486 b,GJ 486,0,1,1,Radial Velocity,2021,Calar Alto Observatory,Published Confirmed,0,<a refstr=CABALLERO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.120C/abstract target=ref>Caballero et al. 2022</a>,1.4671205,0.01713,1.343,0.11981464,3,0.00943906,Mass,0,41.3,706,0,<a refstr=CABALLERO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.120C/abstract target=ref>Caballero et al. 2022</a>,M3.5 V,3291,0.339,0.333,-0.15,[Fe/H],4.82,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426,11.39,6.362,10.094,8/29/2024,2022-09,8/29/2024,,6.57,0,9.332,0.033345767123288184,0,3.187069153424658,Category 3,,3.187069153424658
Kepler-102 d,Kepler-102,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,10.311767,0.08618,1.154,0.10295316,3,0.00943906,Mass,0.092,36.9,686,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,4909,0.724,0.803,0.11,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,12.072,9.351,11.4784,4/17/2023,2023-04,4/17/2023,,8.46,0,6.9879999999999995,0.2756648493150671,0,3.1447329698630133,Category 3,,3.1447329698630133
GJ 486 b,GJ 486,0,1,1,Radial Velocity,2021,Calar Alto Observatory,Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,1.467119,0.01734,1.305,0.1164243,2.82,0.00887267,Mass,0.05,40.3,701,0,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,M3.5 V,3340,0.328,0.323,0.07,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426,11.39,6.362,10.094,7/12/2024,2021-03,7/12/2024,,6.950000000000001,0,8.668,0.033345726027398825,0,3.130269145,Category 3,,3.130269145
HD 23472 d,HD 23472,1,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,3.97664,0.04298,0.75,0.06691063,0.55,0.00173049,Mass,0.07,117,909,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684,0.71,0.67,-0.2,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,9.73,7.207,9.38476,10/3/2022,2022-09,10/3/2022,,7.5,0,7.868,0.10209972602739725,0,3.0940199452054795,Category 3,,3.0940199452054795
Kepler-1876 b,Kepler-1876,1,1,1,Transit,2021,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,6.99205,0.0758,0.853,0.07609969,2.4,0.00755124,Mass,0.098,475,1299,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,6104,1.477,1.187,0.01,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m38.52s,299.1604859,+41d08m37.67s,41.1437964,259.935,10.793,9.472,10.7582,4/17/2023,2023-04,4/17/2023,,8.53,0,6.747999999999999,0.1847136986301372,0,3.092542739726027,Category 3,,3.092542739726027
TOI-561 b,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,0.4465697,0.01064,1.397,0.12463221,2.02,0.00635563,Mass,0,4709,2319,0,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,,,0.843,0.806,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,10.252,8.394,10.0128,2/24/2025,2024-12,2/24/2025,,6.029999999999999,0,9.332,0.005385471,0,3.0734770942465754,Category 3,,3.0734770942465754
Kepler-20 e,Kepler-20,1,2,6,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,6.0984882,0.0637,0.821,0.07324484,0.76,0.00239123,Mass,0.092,169.8,1004,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5495,0.9164,0.929,0.07,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,12.61,10.871,12.4535,4/17/2023,2023-04,4/17/2023,,8.209999999999999,0,6.9879999999999995,0.1602325534246578,0,3.071646510684931,Category 3,,3.071646510684931
