pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,pl_surf_temp,score_radius,score_insolation,score_eccentricity,score_orbital_period,score_temp,score,habitability_category,pl_gravity,total_score
TRAPPIST-1 g,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,12.35294,0.0451,1.127,0.10054421,1.34,0.00421609,Mass,0.061,0.258,198.6,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,8.73,2.58,8.228,0.3315873972602734,0,3.973917479452055,Category 3,,3.973917479452055
LP 791-18 d,LP 791-18,1,1,3,Transit,2023,Spitzer Space Telescope,Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,2.753436,0.01992,1.032,0.09206903,0.9,0.00283172,Mass,0.0015,5.83,395.5,1,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960,0.182,0.139,-0.09,[Fe/H],5.115,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,16.91,10.644,15.0715,5/14/2023,2023-05,5/14/2023,,9.68,0,9.392,0.068587288,0,3.8281174575342463,Category 3,,3.8281174575342463
GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.0252,1.09,0.09724345,1.75,0.00550612,Mass,0,17.3,568,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384,0.32,0.313,-0.02,[Fe/H],4.89,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,12.675,7.869,11.5109,8/1/2022,2022-07,8/1/2022,,9.1,0,9.332,0.064828356,0,3.699365671232877,Category 3,,3.699365671232877
Gliese 12 b,Gliese 12,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,12.761408,0.0668,0.958,0.08546718,3.87,0.01217638,Mass,0.5,1.62,314.6,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,M3.0 V,3296,0.2617,0.2414,-0.32,[Fe/H],5.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.21,12.6,7.807,11.3963,5/21/2024,2024-06,5/21/2024,,9.58,3.799999999999999,0,0.3427783013698633,4.679999999999995,3.6805556602739715,Category 3,,3.6805556602739715
GJ 1132 b,GJ 1132,1,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,1.62892911,0.0157,1.19151465,0.1063,1.83704819,0.00578,Mass,0.0118,19.3,583.8,0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,,3229,0.2211,0.1945,-0.17,[Fe/H],5.037,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613,13.68,8.322,12.138,9/3/2024,2024-08,9/3/2024,,8.0848535,0,9.804,0.03777888,0,3.5853264759452053,Category 3,,3.5853264759452053
TOI-1453 b,TOI-1453,1,2,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=STALPORT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250307529S/abstract target=ref>Stalport et al. 2025</a>,4.3135225,,1.173,0.10464823,2.32,0.00729954,Mass,0,132.6,944.2,0,<a refstr=STALPORT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250307529S/abstract target=ref>Stalport et al. 2025</a>,,4975,0.72,0.715,-0.31,[Fe/H],4.576,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h12m53.58s,258.2232705,+57d11m52.00s,57.1977779,78.7415,11.113,8.686,10.7265,3/18/2025,2025-03,3/18/2025,,8.27,0,9.332,0.11132938356164246,0,3.5426658767123285,Category 3,,3.5426658767123285
Kepler-553 c,Kepler-553,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,328.24017,0.898,11.57887706,1.033,2129.450327,6.7,Mass,0.346,0.589,251,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5191,0.902,0.889,0.152,[Fe/H],4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m12.21s,298.5508922,+48d19m57.15s,48.3325405,728.525,15.034,13.064,14.9567,9/13/2024,2024-03,9/13/2024,,0,5.89,0,8.986032055,2.5999999999999996,3.4952064109589047,Category 3,,3.4952064109589047
Kepler-78 b,Kepler-78,1,2,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.35500745,0.00901,1.201,0.10714623,1.68,0.00528587,Mass,0,4070,2223,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5058,0.7475,0.779,-0.18,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m58.07s,293.7419543,+44d26m53.71s,44.4482521,124.376,11.717,9.586,11.5287,4/17/2023,2023-04,4/17/2023,,7.989999999999999,0,9.332,0.002876916,0,3.4649753832876713,Category 3,,3.4649753832876713
TOI-2095 b,TOI-2095,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,17.66484,0.101,1.25,0.11151772,4.1,0.01290004,Mass,0,3.43,347,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,M2.5 V,3759,0.44,0.44,-0.24,[Fe/H],5.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176,13.19,8.988,12.094,8/22/2023,2023-04,8/22/2023,,7.5,0,9.332,0.4771189041095898,0,3.4618237808219177,Category 3,,3.4618237808219177
TOI-1452 b,TOI-1452,1,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,11.06201,0.061,1.672,0.14916611,4.82,0.01516542,Mass,0,1.8,326,0,<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,M4 +/- 0.5 V,3185,0.275,0.249,-0.07,[M/H],4.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m41.75s,290.1739741,+73d11m42.39s,73.1951082,30.5212,14.354,9.74,13.6233,8/30/2022,2022-09,8/30/2022,,3.280000000000001,2,9.332,0.2962194520547943,2.4000000000000004,3.461643890410959,Category 3,,3.461643890410959
