pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
BEBOP-3 b,,,,,547,1.444,,1.083,,1.414,6033
Barnard b,,,400,6.76,3.1533,0.02294,M3.5-4 V,0.162,-2.44977,0.185,3195
Barnard c,,,400,,4.1244,0.0274,M3.5-4 V,0.162,-2.44977,0.185,3195
Barnard d,,,483,,2.3402,0.0188,M3.5-4 V,0.162,-2.44977,0.185,3195
Barnard e,,,340,,6.7392,0.0381,M3.5-4 V,0.162,-2.44977,0.185,3195
CD Cet b,,,464,8.6,2.2907,0.0185,M5.0 V,0.161,-2.53254,0.175,3130
CFBDSIR J145829+101343 b,,3337.1,370,,10037.5,2.6,,0.021,,,580.5
CFHTWIR-Oph 98 b,20.8487041,2479.061575,1800,,8040000,200,M9-L1,0.0147,-2.85,0.245,2320
CHXR 73 b,,3994.486,,,,210,M3.5,0.35,,,
CI Tau c,,,,,25.2,0.17,,,,,
COCONUTS-2 b,12.44196858,2002.318964,434,,402000000,7506,M3 V,0.37,-1.732,0.388,3406
CT Cha b,24.66,5403,2600,,,440,,,,,
CoRoT-1 b,,,,,1.508968772,,,,,,
CoRoT-10 b,10.87273,867.6759,,,13.2406,0.1055,,0.89,,0.79,5075
CoRoT-11 b,15.58051,791.3967,1715,,2.994325,0.04351,,1.23,,1.33,
CoRoT-12 b,17.76037065,,1293.28,661.1334,2.82803915,,,,,1.03674,5675
CoRoT-13 b,,,,,4.03515,,G0 V,1.09,,1.01,5945
CoRoT-14 b,11.410762,2437.7561,1936,,1.51214,0.02687,,1.125,,1.19,6035
CoRoT-16 b,13.11,170.032,,,5.35227,0.0618,G5 V,1.098,,1.19,5650
CoRoT-17 b,11.43318,765.9703,,,3.7681,0.0481,,1.04,,1.59,5740
CoRoT-18 b,12.845514,1048.839,1487,,1.90009,0.0288,,0.88,-0.17,0.883,
CoRoT-19 b,13.49322275,,1470.09,1103.809,3.897120261,,,,,1.6395,6090
CoRoT-2 b,16.42116,1051.973,,,1.7429964,0.0281,,,,,
CoRoT-20 b,9.42,1347.54,1002,,9.24285,0.0902,G2 V,1.14,,1.02,5880
CoRoT-20 c,,,,,1675,2.9,,1.14,,,
CoRoT-21 b,14.5717,705.5826,,,2.72474,0.0416,,1.29,,1.95,6200
CoRoT-22 b,4.88,12.2,885,,9.75598,0.092,G3 V,1.099,,1.136,5939
CoRoT-23 b,11.77,889.9,1660,,3.6313,0.048,G0 V,1.14,,1.61,5900
CoRoT-24 b,3.7,5.7,1070,,5.1134,0.056,K1 V,0.91,,0.86,4950
CoRoT-24 c,5,28,850,,11.759,0.098,K1 V,0.91,,0.86,4950
CoRoT-25 b,12.11,85.81,1330,,4.86069,0.0578,F9,1.09,,1.19,6040
CoRoT-26 b,14.12,165.26,1600,,4.20474,0.0526,G5,1.09,,1.79,5590
CoRoT-27 b,11.287463,3273.649,,,3.57532,0.0467,,1.05,,1.08,5900
CoRoT-28 b,10.704595,152.87623,,,5.20851,0.059,,1.01,,1.78,5150
CoRoT-29 b,10.0881,270.1555,,,2.85057,0.0386,K0 V,0.97,,0.9,5260
CoRoT-3 b,,,,,,,,1.41,,1.44,6558
CoRoT-30 b,11.309881,921.707,,,9.06005,0.0844,G3 V,0.98,,0.91,5650
CoRoT-31 b,16.36514,266.9772,,,4.62941,0.0586,G2 IV,1.25,,2.15,5700
CoRoT-32 b,,,,,6.7183678,,G0 VI,1.08,-0.1549,0.79,5970
CoRoT-35 b,18.83108758,349.6112477,1747,,3.22748,0.0429,F6 V,1.01,,1.65,6390
CoRoT-36 b,15.80466279,216.1233168,1567,,5.616531,0.066,F3 V,1.32,,1.52,6730
CoRoT-4 b,13.34,228.83,1074,,9.20205,0.09,,1.16,,1.17,6190
CoRoT-5 b,14.078504,145.88397,1397,,4.0379156,0.0495,,0.99,0.18,1.115,
CoRoT-6 b,13.282665,940.7768,1025,,8.886593,0.0855,,1.054,,1.043,6090
CoRoT-7 b,1.68135,4.07660518,,,0.85359163,,,0.82,,0.83,5275
CoRoT-7 c,,13.289,,,3.697,,G9 V,0.915,,,5250
CoRoT-7 d,,17.142,,,8.966,,G9 V,0.915,,,5250
CoRoT-8 b,6.39,69.92,,,6.21229,0.063,K1 V,0.88,,0.77,5080
CoRoT-9 b,11.77,266.97,,,95.2738,0.407,G3 V,0.99,,0.94,5625
DE CVn b,,,,,4098.1,5.75,,0.51,,,
DENIS-P J082303.1-491201 b,,9057.77,,,246.36,0.36,L1.5,0.075,,,
DH Tau b,,3496,,,,330,M0.5,0.33,,0.27,
DMPP-1 b,,,877,,18.57,0.1462,F8 V,1.21,,1.26,6196
DMPP-1 c,,,1239,,6.584,0.0733,F8 V,1.21,,1.26,6196
DMPP-1 d,,,1632,,2.882,0.0422,F8 V,1.21,,1.26,6196
DMPP-1 e,,,1314,,5.516,0.0651,F8 V,1.21,,1.26,6196
DMPP-2 b,,,1000,,5.2072,0.0664,F5 V,1.44,0.1038,1.78,6500
DMPP-3 A b,,,854,,6.6732,0.0662,K0 V,0.87,,0.91,5138
DMPP-4 b,,,,,3.4982,0.04853,F5-F8 V,1.25,0.45939,1.38,6400
DP Leo b,,1995.88832,,,8693,8.6,,,,,
DS Tuc A b,5.63,413.179,,,8.1387,,G6 V,0.959,,0.872,5542
EPIC 201170410.02,1.047,,,,6.7987,0.0349,,0.287,,0.282,3648
EPIC 201238110 b,1.87,,,,28.1656,,,0.41,,,
EPIC 201427007 b,1.5,,,,0.72091,,,,,0.94,5633
EPIC 201497682 b,0.692,,,,2.13174,,,0.78,,,
EPIC 201595106 b,1.2,,1874,,0.87703,,,1.018,-0.0264,0.990833,5711.17
EPIC 201615463 c,1.22,,,,3.80464,,,1.073,,,
EPIC 201754305 d,1.03,,,,2.71578,,,0.67,,,
EPIC 201757695.02,0.90819,,,,2.0478,0.0296,,0.727,-0.36351,0.655,4520
EPIC 201833600 c,1.48,,,,3.96165,,,,,0.634,
EPIC 201841433 b,1.04,,,,4.1698,0.035,,0.802,,0.628461,5053
EPIC 205950854 c,1.31,,960.6,,8.050722,,,0.877,,0.83,5502.7
EPIC 206024342 b,1.7,,,,4.50756,,,0.928,,,
EPIC 206024342 c,1.16,,,,0.911618,,,,,0.823,
EPIC 206024342 d,4,,,,14.637,,,,,1.5,6438
EPIC 206032309 b,1.01,,,,2.87814,,,0.221,,,
EPIC 206042996 b,3.32,,,,5.29853,,,,,0.668,
EPIC 206042996 c,1.2,,,,0.354884,,,,,0.5,4114
EPIC 206215704 b,2,,,,2.25558,,,,,0.367,
EPIC 206317286 b,1.22,,,,1.58316,,,,,0.669,
EPIC 206317286 c,2.15,,,,17.5125,,,,,0.669,
EPIC 211822797 b,2.18,,,,21.1686,,,,,0.642,
EPIC 211945201 b,5.76,,817,,19.49221,0.1493,,1.17,,1.39,6069
EPIC 212297394 b,1.83,,,,2.28896,,,,,0.749,
EPIC 212297394 c,,,,,5.213,,,0.831,-0.46654,0.776343,5008
EPIC 212424622 b,2.17,,,,18.0983,,,1.106,,,
EPIC 212499991 b,1.6,,,,34.885,,,0.912,,,
EPIC 212587672 b,1.12,,,,15.2841,,,0.95,,,
EPIC 212587672 c,,,,,23.226,,,1.13,0.03848,0.94987,6055
EPIC 212624936 b,1.2,,,,0.578657,,,,,0.93,5765
EPIC 212624936 c,2.3,,,,11.811437,,,,,0.93,5765
EPIC 212737443 b,,,,,13.60697954,,,0.724,-0.75057,0.669035,4581
EPIC 212737443 c,2.69,,316,,65.55,0.28,K3,0.69,,0.673,4684
EPIC 220492298 b,0.99,,,,0.762406,,,,,0.89,5620
EPIC 220554210 c,1.6,,,,0.70531,,,,,1,5499
EPIC 220674823 b,1.8,,,,0.571336,,,,,0.97,
EPIC 220674823 c,3.79,,,,13.33877,,,,,1.02,
EPIC 228836835 b,1.27,,932,,0.72813,,,0.418179,-1.61153,0.423901,3506
EPIC 229004835 b,2.02,,739,,16.13655,,,1.067,0.02989,0.995311,5886
EPIC 246851721 b,,,,,6.1802679,,F5 V,1.317,0.52634,1.586,6202
EPIC 248847494 b,12.44199,4131.79,183,0.19,3650,4.5,,0.9,,2.7,4898
EPIC 249893012 b,1.95,8.75,1616,1037,3.5951,0.047,G8 IV/V,1.05,,1.71,5430
EPIC 249893012 c,3.67,14.67,990,160,15.624,0.13,G8 IV/V,1.05,,1.71,5430
EPIC 249893012 d,3.94,10.18,752,53,35.747,0.22,G8 IV/V,1.05,,1.71,5430
FU Tau b,,6038.739733,2559,,,726,,,,,
